Driver,QualifyingPosition,Winner,Race
OCO,6,0,2020 Belgian Grand Prix
PER,9,0,2020 Belgian Grand Prix
RAI,16,0,2020 Belgian Grand Prix
RIC,4,0,2020 Belgian Grand Prix
RUS,15,0,2020 Belgian Grand Prix
SAI,7,0,2020 Belgian Grand Prix
STR,8,0,2020 Belgian Grand Prix
VER,3,0,2020 Belgian Grand Prix
VET,14,0,2020 Belgian Grand Prix
ALB,10,0,2020 Italian Grand Prix
BOT,2,0,2020 Italian Grand Prix
GAS,8,1,2020 Italian Grand Prix
GIO,18,0,2020 Italian Grand Prix
GRO,16,0,2020 Italian Grand Prix
HAM,1,0,2020 Italian Grand Prix
KVY,11,0,2020 Italian Grand Prix
LAT,20,0,2020 Italian Grand Prix
LEC,13,0,2020 Italian Grand Prix
MAG,14,0,2020 Italian Grand Prix
NOR,6,0,2020 Italian Grand Prix
OCO,12,0,2020 Italian Grand Prix
PER,4,0,2020 Italian Grand Prix
RAI,15,0,2020 Italian Grand Prix
RIC,7,0,2020 Italian Grand Prix
RUS,19,0,2020 Italian Grand Prix
SAI,3,0,2020 Italian Grand Prix
STR,9,0,2020 Italian Grand Prix
VER,5,0,2020 Italian Grand Prix
VET,17,0,2020 Italian Grand Prix
ALB,4,0,2020 Tuscan Grand Prix
BOT,2,0,2020 Tuscan Grand Prix
GAS,16,0,2020 Tuscan Grand Prix
GIO,17,0,2020 Tuscan Grand Prix
GRO,15,0,2020 Tuscan Grand Prix
HAM,1,1,2020 Tuscan Grand Prix
KVY,12,0,2020 Tuscan Grand Prix
LAT,19,0,2020 Tuscan Grand Prix
LEC,6,0,2020 Tuscan Grand Prix
MAG,20,0,2020 Tuscan Grand Prix
NOR,11,0,2020 Tuscan Grand Prix
OCO,8,0,2020 Tuscan Grand Prix
PER,9,0,2020 Tuscan Grand Prix
RAI,12,0,2020 Tuscan Grand Prix
RIC,5,0,2020 Tuscan Grand Prix
RUS,18,0,2020 Tuscan Grand Prix
SAI,10,0,2020 Tuscan Grand Prix
STR,7,0,2020 Tuscan Grand Prix
VER,3,0,2020 Tuscan Grand Prix
VET,14,0,2020 Tuscan Grand Prix
ALB,10,0,2020 Russian Grand Prix
BOT,3,1,2020 Russian Grand Prix
GAS,9,0,2020 Russian Grand Prix
GIO,17,0,2020 Russian Grand Prix
GRO,16,0,2020 Russian Grand Prix
HAM,1,0,2020 Russian Grand Prix
KVY,12,0,2020 Russian Grand Prix
LAT,19,0,2020 Russian Grand Prix
LEC,11,0,2020 Russian Grand Prix
MAG,18,0,2020 Russian Grand Prix
NOR,8,0,2020 Russian Grand Prix
OCO,7,0,2020 Russian Grand Prix
PER,5,0,2020 Russian Grand Prix
RAI,20,0,2020 Russian Grand Prix
RIC,4,0,2020 Russian Grand Prix
RUS,14,0,2020 Russian Grand Prix
SAI,6,0,2020 Russian Grand Prix
STR,13,0,2020 Russian Grand Prix
VER,2,0,2020 Russian Grand Prix
VET,15,0,2020 Russian Grand Prix
ALB,5,0,2020 Eifel Grand Prix
BOT,1,0,2020 Eifel Grand Prix
GAS,12,0,2020 Eifel Grand Prix
GIO,14,0,2020 Eifel Grand Prix
GRO,15,0,2020 Eifel Grand Prix
HAM,2,1,2020 Eifel Grand Prix
HUL,20,0,2020 Eifel Grand Prix
KVY,13,0,2020 Eifel Grand Prix
LAT,18,0,2020 Eifel Grand Prix
LEC,4,0,2020 Eifel Grand Prix
MAG,16,0,2020 Eifel Grand Prix
NOR,8,0,2020 Eifel Grand Prix
OCO,7,0,2020 Eifel Grand Prix
PER,9,0,2020 Eifel Grand Prix
RAI,19,0,2020 Eifel Grand Prix
RIC,6,0,2020 Eifel Grand Prix
RUS,17,0,2020 Eifel Grand Prix
SAI,10,0,2020 Eifel Grand Prix
VER,3,0,2020 Eifel Grand Prix
VET,11,0,2020 Eifel Grand Prix
ALB,9,0,2020 Portuguese Grand Prix
BOT,1,0,2020 Portuguese Grand Prix
GAS,7,0,2020 Portuguese Grand Prix
GIO,17,0,2020 Portuguese Grand Prix
GRO,18,0,2020 Portuguese Grand Prix
HAM,2,1,2020 Portuguese Grand Prix
KVY,14,0,2020 Portuguese Grand Prix
LAT,19,0,2020 Portuguese Grand Prix
LEC,4,0,2020 Portuguese Grand Prix
MAG,20,0,2020 Portuguese Grand Prix
NOR,8,0,2020 Portuguese Grand Prix
OCO,13,0,2020 Portuguese Grand Prix
PER,5,0,2020 Portuguese Grand Prix
RAI,16,0,2020 Portuguese Grand Prix
RIC,12,0,2020 Portuguese Grand Prix
RUS,15,0,2020 Portuguese Grand Prix
SAI,6,0,2020 Portuguese Grand Prix
STR,11,0,2020 Portuguese Grand Prix
VER,3,0,2020 Portuguese Grand Prix
VET,10,0,2020 Portuguese Grand Prix
ALB,6,0,2020 Emilia Romagna Grand Prix
BOT,1,0,2020 Emilia Romagna Grand Prix
GAS,4,0,2020 Emilia Romagna Grand Prix
GIO,20,0,2020 Emilia Romagna Grand Prix
GRO,17,0,2020 Emilia Romagna Grand Prix
HAM,2,1,2020 Emilia Romagna Grand Prix
KVY,8,0,2020 Emilia Romagna Grand Prix
LAT,19,0,2020 Emilia Romagna Grand Prix
LEC,7,0,2020 Emilia Romagna Grand Prix
MAG,18,0,2020 Emilia Romagna Grand Prix
NOR,9,0,2020 Emilia Romagna Grand Prix
OCO,12,0,2020 Emilia Romagna Grand Prix
PER,11,0,2020 Emilia Romagna Grand Prix
RAI,16,0,2020 Emilia Romagna Grand Prix
RIC,5,0,2020 Emilia Romagna Grand Prix
RUS,14,0,2020 Emilia Romagna Grand Prix
SAI,10,0,2020 Emilia Romagna Grand Prix
STR,15,0,2020 Emilia Romagna Grand Prix
VER,3,0,2020 Emilia Romagna Grand Prix
VET,13,0,2020 Emilia Romagna Grand Prix
ALB,4,0,2020 Turkish Grand Prix
BOT,9,0,2020 Turkish Grand Prix
GAS,15,0,2020 Turkish Grand Prix
GIO,10,0,2020 Turkish Grand Prix
GRO,19,0,2020 Turkish Grand Prix
HAM,6,1,2020 Turkish Grand Prix
KVY,17,0,2020 Turkish Grand Prix
LAT,20,0,2020 Turkish Grand Prix
LEC,14,0,2020 Turkish Grand Prix
MAG,16,0,2020 Turkish Grand Prix
NOR,11,0,2020 Turkish Grand Prix
OCO,7,0,2020 Turkish Grand Prix
PER,3,0,2020 Turkish Grand Prix
RAI,8,0,2020 Turkish Grand Prix
RIC,5,0,2020 Turkish Grand Prix
RUS,18,0,2020 Turkish Grand Prix
SAI,13,0,2020 Turkish Grand Prix
STR,1,0,2020 Turkish Grand Prix
VER,2,0,2020 Turkish Grand Prix
VET,12,0,2020 Turkish Grand Prix
ALB,4,0,2020 Bahrain Grand Prix
BOT,2,0,2020 Bahrain Grand Prix
GAS,8,0,2020 Bahrain Grand Prix
GIO,16,0,2020 Bahrain Grand Prix
GRO,19,0,2020 Bahrain Grand Prix
HAM,1,1,2020 Bahrain Grand Prix
KVY,10,0,2020 Bahrain Grand Prix
LAT,20,0,2020 Bahrain Grand Prix
LEC,13,0,2020 Bahrain Grand Prix
MAG,18,0,2020 Bahrain Grand Prix
NOR,9,0,2020 Bahrain Grand Prix
OCO,7,0,2020 Bahrain Grand Prix
PER,5,0,2020 Bahrain Grand Prix
RAI,17,0,2020 Bahrain Grand Prix
RIC,6,0,2020 Bahrain Grand Prix
RUS,15,0,2020 Bahrain Grand Prix
SAI,12,0,2020 Bahrain Grand Prix
STR,11,0,2020 Bahrain Grand Prix
VER,3,0,2020 Bahrain Grand Prix
VET,14,0,2020 Bahrain Grand Prix
AIT,18,0,2020 Sakhir Grand Prix
ALB,12,0,2020 Sakhir Grand Prix
BOT,1,0,2020 Sakhir Grand Prix
FIT,20,0,2020 Sakhir Grand Prix
GAS,10,0,2020 Sakhir Grand Prix
GIO,15,0,2020 Sakhir Grand Prix
KVY,8,0,2020 Sakhir Grand Prix
LAT,17,0,2020 Sakhir Grand Prix
LEC,4,0,2020 Sakhir Grand Prix
MAG,16,0,2020 Sakhir Grand Prix
NOR,14,0,2020 Sakhir Grand Prix
OCO,11,0,2020 Sakhir Grand Prix
PER,5,1,2020 Sakhir Grand Prix
RAI,19,0,2020 Sakhir Grand Prix
RIC,9,0,2020 Sakhir Grand Prix
RUS,2,0,2020 Sakhir Grand Prix
SAI,6,0,2020 Sakhir Grand Prix
STR,7,0,2020 Sakhir Grand Prix
VER,3,0,2020 Sakhir Grand Prix
VET,13,0,2020 Sakhir Grand Prix
ALB,5,0,2020 Abu Dhabi Grand Prix
BOT,2,0,2020 Abu Dhabi Grand Prix
FIT,19,0,2020 Abu Dhabi Grand Prix
GAS,11,0,2020 Abu Dhabi Grand Prix
GIO,15,0,2020 Abu Dhabi Grand Prix
HAM,3,0,2020 Abu Dhabi Grand Prix
KVY,8,0,2020 Abu Dhabi Grand Prix
LAT,20,0,2020 Abu Dhabi Grand Prix
LEC,7,0,2020 Abu Dhabi Grand Prix
MAG,17,0,2020 Abu Dhabi Grand Prix
NOR,4,0,2020 Abu Dhabi Grand Prix
OCO,12,0,2020 Abu Dhabi Grand Prix
PER,9,0,2020 Abu Dhabi Grand Prix
RAI,16,0,2020 Abu Dhabi Grand Prix
RIC,13,0,2020 Abu Dhabi Grand Prix
RUS,18,0,2020 Abu Dhabi Grand Prix
SAI,6,0,2020 Abu Dhabi Grand Prix
STR,10,0,2020 Abu Dhabi Grand Prix
VER,1,1,2020 Abu Dhabi Grand Prix
VET,14,0,2020 Abu Dhabi Grand Prix
ALO,9,0,2021 Bahrain Grand Prix
BOT,3,0,2021 Bahrain Grand Prix
GAS,5,0,2021 Bahrain Grand Prix
GIO,13,0,2021 Bahrain Grand Prix
HAM,2,1,2021 Bahrain Grand Prix
LAT,17,0,2021 Bahrain Grand Prix
LEC,4,0,2021 Bahrain Grand Prix
MAZ,20,0,2021 Bahrain Grand Prix
MSC,19,0,2021 Bahrain Grand Prix
NOR,7,0,2021 Bahrain Grand Prix
OCO,16,0,2021 Bahrain Grand Prix
PER,12,0,2021 Bahrain Grand Prix
RAI,14,0,2021 Bahrain Grand Prix
RIC,6,0,2021 Bahrain Grand Prix
RUS,15,0,2021 Bahrain Grand Prix
SAI,8,0,2021 Bahrain Grand Prix
STR,10,0,2021 Bahrain Grand Prix
TSU,11,0,2021 Bahrain Grand Prix
VER,1,0,2021 Bahrain Grand Prix
VET,18,0,2021 Bahrain Grand Prix
ALO,13,0,2021 Portuguese Grand Prix
BOT,3,0,2021 Portuguese Grand Prix
GAS,10,0,2021 Portuguese Grand Prix
GIO,12,0,2021 Portuguese Grand Prix
HAM,1,1,2021 Portuguese Grand Prix
LAT,18,0,2021 Portuguese Grand Prix
LEC,6,0,2021 Portuguese Grand Prix
MAZ,20,0,2021 Portuguese Grand Prix
MSC,19,0,2021 Portuguese Grand Prix
NOR,4,0,2021 Portuguese Grand Prix
OCO,5,0,2021 Portuguese Grand Prix
PER,8,0,2021 Portuguese Grand Prix
RAI,15,0,2021 Portuguese Grand Prix
RIC,16,0,2021 Portuguese Grand Prix
RUS,11,0,2021 Portuguese Grand Prix
SAI,7,0,2021 Portuguese Grand Prix
STR,17,0,2021 Portuguese Grand Prix
TSU,14,0,2021 Portuguese Grand Prix
VER,2,0,2021 Portuguese Grand Prix
VET,9,0,2021 Portuguese Grand Prix
ALO,10,0,2021 Spanish Grand Prix
BOT,3,0,2021 Spanish Grand Prix
GAS,12,0,2021 Spanish Grand Prix
GIO,14,0,2021 Spanish Grand Prix
HAM,1,1,2021 Spanish Grand Prix
LAT,19,0,2021 Spanish Grand Prix
LEC,4,0,2021 Spanish Grand Prix
MAZ,20,0,2021 Spanish Grand Prix
MSC,18,0,2021 Spanish Grand Prix
NOR,9,0,2021 Spanish Grand Prix
OCO,5,0,2021 Spanish Grand Prix
PER,8,0,2021 Spanish Grand Prix
RAI,17,0,2021 Spanish Grand Prix
RIC,7,0,2021 Spanish Grand Prix
RUS,15,0,2021 Spanish Grand Prix
SAI,6,0,2021 Spanish Grand Prix
STR,11,0,2021 Spanish Grand Prix
TSU,16,0,2021 Spanish Grand Prix
VER,2,0,2021 Spanish Grand Prix
VET,13,0,2021 Spanish Grand Prix
ALO,17,0,2021 Monaco Grand Prix
BOT,3,0,2021 Monaco Grand Prix
GAS,6,0,2021 Monaco Grand Prix
GIO,10,0,2021 Monaco Grand Prix
HAM,8,0,2021 Monaco Grand Prix
LAT,18,0,2021 Monaco Grand Prix
LEC,1,0,2021 Monaco Grand Prix
MAZ,19,0,2021 Monaco Grand Prix
NOR,5,0,2021 Monaco Grand Prix
OCO,11,0,2021 Monaco Grand Prix
PER,7,0,2021 Monaco Grand Prix
RAI,14,0,2021 Monaco Grand Prix
RIC,12,0,2021 Monaco Grand Prix
RUS,15,0,2021 Monaco Grand Prix
SAI,4,0,2021 Monaco Grand Prix
STR,13,0,2021 Monaco Grand Prix
TSU,16,0,2021 Monaco Grand Prix
VER,2,1,2021 Monaco Grand Prix
VET,9,0,2021 Monaco Grand Prix
ALO,9,0,2021 Styrian Grand Prix
BOT,2,0,2021 Styrian Grand Prix
GAS,6,0,2021 Styrian Grand Prix
GIO,15,0,2021 Styrian Grand Prix
HAM,3,0,2021 Styrian Grand Prix
LAT,16,0,2021 Styrian Grand Prix
LEC,7,0,2021 Styrian Grand Prix
MAZ,20,0,2021 Styrian Grand Prix
MSC,19,0,2021 Styrian Grand Prix
NOR,4,0,2021 Styrian Grand Prix
OCO,17,0,2021 Styrian Grand Prix
PER,5,0,2021 Styrian Grand Prix
RAI,18,0,2021 Styrian Grand Prix
RIC,14,0,2021 Styrian Grand Prix
RUS,11,0,2021 Styrian Grand Prix
SAI,12,0,2021 Styrian Grand Prix
STR,10,0,2021 Styrian Grand Prix
TSU,8,0,2021 Styrian Grand Prix
VER,1,1,2021 Styrian Grand Prix
VET,12,0,2021 Styrian Grand Prix
ALO,8,0,2021 Austrian Grand Prix
BOT,5,0,2021 Austrian Grand Prix
GAS,6,0,2021 Austrian Grand Prix
GIO,15,0,2021 Austrian Grand Prix
HAM,4,0,2021 Austrian Grand Prix
LAT,18,0,2021 Austrian Grand Prix
LEC,13,0,2021 Austrian Grand Prix
MAZ,20,0,2021 Austrian Grand Prix
MSC,19,0,2021 Austrian Grand Prix
NOR,2,0,2021 Austrian Grand Prix
OCO,17,0,2021 Austrian Grand Prix
PER,3,0,2021 Austrian Grand Prix
RAI,16,0,2021 Austrian Grand Prix
RIC,14,0,2021 Austrian Grand Prix
RUS,11,0,2021 Austrian Grand Prix
SAI,12,0,2021 Austrian Grand Prix
STR,10,0,2021 Austrian Grand Prix
TSU,7,0,2021 Austrian Grand Prix
VER,1,1,2021 Austrian Grand Prix
VET,9,0,2021 Austrian Grand Prix
ALO,11,0,2021 British Grand Prix
BOT,3,0,2021 British Grand Prix
GAS,12,0,2021 British Grand Prix
GIO,14,0,2021 British Grand Prix
HAM,1,1,2021 British Grand Prix
LAT,18,0,2021 British Grand Prix
LEC,5,0,2021 British Grand Prix
MAZ,20,0,2021 British Grand Prix
MSC,19,0,2021 British Grand Prix
NOR,7,0,2021 British Grand Prix
OCO,13,0,2021 British Grand Prix
PER,4,0,2021 British Grand Prix
RAI,17,0,2021 British Grand Prix
RIC,8,0,2021 British Grand Prix
RUS,9,0,2021 British Grand Prix
SAI,6,0,2021 British Grand Prix
STR,15,0,2021 British Grand Prix
TSU,16,0,2021 British Grand Prix
VER,2,0,2021 British Grand Prix
VET,10,0,2021 British Grand Prix
ALO,8,0,2021 Hungarian Grand Prix
BOT,3,0,2021 Hungarian Grand Prix
GAS,5,0,2021 Hungarian Grand Prix
GIO,15,0,2021 Hungarian Grand Prix
HAM,1,0,2021 Hungarian Grand Prix
LAT,18,0,2021 Hungarian Grand Prix
LEC,7,0,2021 Hungarian Grand Prix
MAZ,19,0,2021 Hungarian Grand Prix
NOR,4,0,2021 Hungarian Grand Prix
OCO,10,1,2021 Hungarian Grand Prix
PER,6,0,2021 Hungarian Grand Prix
RAI,14,0,2021 Hungarian Grand Prix
RIC,12,0,2021 Hungarian Grand Prix
RUS,17,0,2021 Hungarian Grand Prix
SAI,9,0,2021 Hungarian Grand Prix
STR,13,0,2021 Hungarian Grand Prix
TSU,16,0,2021 Hungarian Grand Prix
VER,2,0,2021 Hungarian Grand Prix
VET,11,0,2021 Hungarian Grand Prix
ALO,14,0,2021 Belgian Grand Prix
BOT,3,0,2021 Belgian Grand Prix
GAS,4,0,2021 Belgian Grand Prix
GIO,16,0,2021 Belgian Grand Prix
HAM,2,0,2021 Belgian Grand Prix
LAT,12,0,2021 Belgian Grand Prix
LEC,11,0,2021 Belgian Grand Prix
MAZ,20,0,2021 Belgian Grand Prix
MSC,18,0,2021 Belgian Grand Prix
NOR,1,0,2021 Belgian Grand Prix
OCO,10,0,2021 Belgian Grand Prix
PER,7,0,2021 Belgian Grand Prix
RAI,19,0,2021 Belgian Grand Prix
RIC,9,0,2021 Belgian Grand Prix
RUS,8,0,2021 Belgian Grand Prix
SAI,13,0,2021 Belgian Grand Prix
STR,15,0,2021 Belgian Grand Prix
TSU,17,0,2021 Belgian Grand Prix
VER,5,1,2021 Belgian Grand Prix
VET,6,0,2021 Belgian Grand Prix
ALO,10,0,2021 Dutch Grand Prix
BOT,3,0,2021 Dutch Grand Prix
GAS,5,0,2021 Dutch Grand Prix
GIO,7,0,2021 Dutch Grand Prix
HAM,2,0,2021 Dutch Grand Prix
KUB,18,0,2021 Dutch Grand Prix
LAT,11,0,2021 Dutch Grand Prix
LEC,4,0,2021 Dutch Grand Prix
MAZ,20,0,2021 Dutch Grand Prix
MSC,19,0,2021 Dutch Grand Prix
NOR,14,0,2021 Dutch Grand Prix
OCO,9,0,2021 Dutch Grand Prix
PER,16,0,2021 Dutch Grand Prix
RIC,8,0,2021 Dutch Grand Prix
RUS,12,0,2021 Dutch Grand Prix
SAI,6,0,2021 Dutch Grand Prix
STR,13,0,2021 Dutch Grand Prix
TSU,15,0,2021 Dutch Grand Prix
VER,1,1,2021 Dutch Grand Prix
VET,17,0,2021 Dutch Grand Prix
ALO,13,0,2021 Italian Grand Prix
BOT,1,0,2021 Italian Grand Prix
GAS,6,0,2021 Italian Grand Prix
GIO,10,0,2021 Italian Grand Prix
HAM,2,0,2021 Italian Grand Prix
KUB,19,0,2021 Italian Grand Prix
LAT,17,0,2021 Italian Grand Prix
LEC,8,0,2021 Italian Grand Prix
MAZ,20,0,2021 Italian Grand Prix
MSC,18,0,2021 Italian Grand Prix
NOR,4,0,2021 Italian Grand Prix
OCO,14,0,2021 Italian Grand Prix
PER,9,0,2021 Italian Grand Prix
RIC,5,1,2021 Italian Grand Prix
RUS,15,0,2021 Italian Grand Prix
SAI,7,0,2021 Italian Grand Prix
STR,12,0,2021 Italian Grand Prix
TSU,16,0,2021 Italian Grand Prix
VER,3,0,2021 Italian Grand Prix
VET,11,0,2021 Italian Grand Prix
ALO,6,0,2021 Russian Grand Prix
BOT,7,0,2021 Russian Grand Prix
GAS,12,0,2021 Russian Grand Prix
GIO,18,0,2021 Russian Grand Prix
HAM,4,1,2021 Russian Grand Prix
LAT,14,0,2021 Russian Grand Prix
LEC,15,0,2021 Russian Grand Prix
MAZ,19,0,2021 Russian Grand Prix
MSC,17,0,2021 Russian Grand Prix
NOR,1,0,2021 Russian Grand Prix
OCO,10,0,2021 Russian Grand Prix
PER,9,0,2021 Russian Grand Prix
RAI,16,0,2021 Russian Grand Prix
RIC,5,0,2021 Russian Grand Prix
RUS,3,0,2021 Russian Grand Prix
SAI,2,0,2021 Russian Grand Prix
STR,8,0,2021 Russian Grand Prix
TSU,13,0,2021 Russian Grand Prix
VER,20,0,2021 Russian Grand Prix
VET,11,0,2021 Russian Grand Prix
ALO,6,0,2021 Turkish Grand Prix
BOT,2,1,2021 Turkish Grand Prix
GAS,5,0,2021 Turkish Grand Prix
GIO,18,0,2021 Turkish Grand Prix
HAM,1,0,2021 Turkish Grand Prix
LAT,17,0,2021 Turkish Grand Prix
LEC,4,0,2021 Turkish Grand Prix
MAZ,20,0,2021 Turkish Grand Prix
MSC,15,0,2021 Turkish Grand Prix
NOR,8,0,2021 Turkish Grand Prix
OCO,12,0,2021 Turkish Grand Prix
PER,7,0,2021 Turkish Grand Prix
RAI,19,0,2021 Turkish Grand Prix
RIC,16,0,2021 Turkish Grand Prix
RUS,13,0,2021 Turkish Grand Prix
SAI,14,0,2021 Turkish Grand Prix
STR,10,0,2021 Turkish Grand Prix
TSU,9,0,2021 Turkish Grand Prix
VER,3,0,2021 Turkish Grand Prix
VET,11,0,2021 Turkish Grand Prix
ALO,14,0,2021 United States Grand Prix
BOT,4,0,2021 United States Grand Prix
GAS,9,0,2021 United States Grand Prix
GIO,15,0,2021 United States Grand Prix
HAM,2,0,2021 United States Grand Prix
LAT,17,0,2021 United States Grand Prix
LEC,5,0,2021 United States Grand Prix
MAZ,20,0,2021 United States Grand Prix
MSC,19,0,2021 United States Grand Prix
NOR,8,0,2021 United States Grand Prix
OCO,12,0,2021 United States Grand Prix
PER,3,0,2021 United States Grand Prix
RAI,18,0,2021 United States Grand Prix
RIC,7,0,2021 United States Grand Prix
RUS,13,0,2021 United States Grand Prix
SAI,6,0,2021 United States Grand Prix
STR,16,0,2021 United States Grand Prix
TSU,10,0,2021 United States Grand Prix
VER,1,1,2021 United States Grand Prix
VET,11,0,2021 United States Grand Prix
ALO,16,0,2021 Mexico City Grand Prix
BOT,1,0,2021 Mexico City Grand Prix
GAS,5,0,2021 Mexico City Grand Prix
GIO,13,0,2021 Mexico City Grand Prix
HAM,2,0,2021 Mexico City Grand Prix
LAT,17,0,2021 Mexico City Grand Prix
LEC,7,0,2021 Mexico City Grand Prix
MAZ,19,0,2021 Mexico City Grand Prix
MSC,18,0,2021 Mexico City Grand Prix
NOR,10,0,2021 Mexico City Grand Prix
OCO,15,0,2021 Mexico City Grand Prix
PER,4,0,2021 Mexico City Grand Prix
RAI,12,0,2021 Mexico City Grand Prix
RIC,9,0,2021 Mexico City Grand Prix
RUS,14,0,2021 Mexico City Grand Prix
SAI,8,0,2021 Mexico City Grand Prix
STR,20,0,2021 Mexico City Grand Prix
TSU,6,0,2021 Mexico City Grand Prix
VER,3,1,2021 Mexico City Grand Prix
VET,11,0,2021 Mexico City Grand Prix
ALO,10,0,2021 São Paulo Grand Prix
BOT,3,0,2021 São Paulo Grand Prix
GAS,5,0,2021 São Paulo Grand Prix
GIO,12,0,2021 São Paulo Grand Prix
HAM,1,1,2021 São Paulo Grand Prix
LAT,17,0,2021 São Paulo Grand Prix
LEC,7,0,2021 São Paulo Grand Prix
MAZ,20,0,2021 São Paulo Grand Prix
MSC,19,0,2021 São Paulo Grand Prix
NOR,8,0,2021 São Paulo Grand Prix
OCO,11,0,2021 São Paulo Grand Prix
PER,4,0,2021 São Paulo Grand Prix
RAI,15,0,2021 São Paulo Grand Prix
